date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:40	1442/1442	---M--	200	added ('OK')	image/png	etag:%225ba00fa-5a2-57d03174d7c93%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_square/btnPrevious.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_square/btnPrevious.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:41	4227/4227	---M--	200	added ('OK')	image/png	etag:%225ba00f4-1083-57d0316e0db81%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/sprite.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/sprite.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:42	142/142	---M--	200	added ('OK')	image/png	etag:%225ba00f1-8e-57d0316c1c656%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternTop.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternTop.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:43	137/137	---M--	200	added ('OK')	image/png	etag:%225ba00ef-89-57d0316b1e7c5%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternLeft.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternLeft.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:44	136/136	---M--	200	added ('OK')	image/png	etag:%225ba00f0-88-57d0316c106ed%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternRight.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternRight.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:45	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225ba00f3-9f1-57d0316d26c21%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/loader.gif	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/loader.gif	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:46	845/845	---M--	200	added ('OK')	image/png	etag:%225ba00ed-34d-57d0316a218d3%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/btnNext.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/btnNext.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:47	828/828	---M--	200	added ('OK')	image/png	etag:%225ba00ec-33c-57d0316a1eddb%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/btnPrevious.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/btnPrevious.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:48	142/142	---M--	200	added ('OK')	image/png	etag:%225ba00ee-8e-57d0316b1479c%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternBottom.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/contentPatternBottom.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:49	227/227	---M--	200	added ('OK')	image/gif	etag:%225ba00f2-e3-57d0316d0aae7%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/default_thumbnail.gif	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/facebook/default_thumbnail.gif	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:50	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225ba00f8-9f1-57d0317185eaf%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/loader.gif	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_rounded/loader.gif	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:55	733/733	---M--	200	added ('OK')	image/svg+xml	etag:%225ba004b-2dd-57d03149c8290%22	http://povestea-noastra.com/theme/help404/_landing/images/ic/eye.svg	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/ic/eye.svg	(from http://povestea-noastra.com/theme/help404/_landing/index.html)
